"SANITATION","Year","Population 
(thousands)","% urban","NATIONAL","","","","","","RURAL","","","","","","URBAN","","","","","","NATIONAL","","","","","","","","RURAL","","","","","","","","URBAN","","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","","Proportion of population using improved 
sanitation facilities 
(excluding shared)","","","","","Proportion of population using improved 
sanitation facilities 
(including shared)","","",""
"","","","","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","At least basic","Limited (shared)","Unimproved","Open defecation","Annual rate of change in basic","Annual rate of change in open defecation","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Safely managed","Disposed in situ","Emptied and treated","Wastewater treated","Annual rate of change in safely managed","Latrines and other","Septic tanks","Sewer connections","Sl"
"Australia and New Zealand","2000","22850.425537109","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","60","-","-","60","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Australia and New Zealand","2001","23102.616699219","84",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","60","-","-","60","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2"
"Australia and New Zealand","2002","23364.567138672","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","60","-","-","60","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3"
"Australia and New Zealand","2003","23646.236083984","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","60","-","-","60","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4"
"Australia and New Zealand","2004","23960.075195312","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","61","-","-","61","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5"
"Australia and New Zealand","2005","24313.895996094","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","62","-","-","62","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6"
"Australia and New Zealand","2006","24712.182617188","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","62","-","-","62","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7"
"Australia and New Zealand","2007","25149.385742188","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","63","-","-","63","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8"
"Australia and New Zealand","2008","25610.448730469","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","64","-","-","64","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9"
"Australia and New Zealand","2009","26074.189453125","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","65","-","-","65","0.77","1","11","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10"
"Australia and New Zealand","2010","26524.747558594","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","66","-","-","66","0.77","1","11","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11"
"Australia and New Zealand","2011","26956.67578125","85",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","67","-","-","67","0.77","<1","11","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12"
"Australia and New Zealand","2012","27372.413085938","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","68","-","-","68","0.77","<1","11","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13"
"Australia and New Zealand","2013","27773.431152344","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","69","-","-","69","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14"
"Australia and New Zealand","2014","28163.947753906","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","70","-","-","70","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15"
"Australia and New Zealand","2015","28547.024902344","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","71","-","-","71","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16"
"Australia and New Zealand","2016","28921.976074219","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","72","-","-","72","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17"
"Australia and New Zealand","2017","29286.647949219","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","73","-","-","73","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18"
"Australia and New Zealand","2018","29641.283203125","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","74","-","-","74","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19"
"Australia and New Zealand","2019","29986.261230469","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","75","-","-","75","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20"
"Australia and New Zealand","2020","30322.113769531","86",">99","<1","<1","<1","-0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","76","-","-","76","0.77","<1","12","88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21"
"Central and Southern Asia","2000","1511915.2556763","30","24","6","12","58","2.38","-2.34","10","2","13","75","2.83","-2.86","56","15","11","19","1.18","-0.89","13","10","-","3","1.68","11","10","8","7","6","-","<1","2.15","8","3","1","27","19","-","8","0.68","18","27","25","22"
"Central and Southern Asia","2001","1539136.3328552","30","26","6","12","56","2.38","-2.34","13","3","12","72","2.83","-2.86","57","15","11","18","1.18","-0.89","14","11","-","3","1.68","11","12","9","8","7","-","<1","2.15","8","6","1","28","20","-","8","0.68","19","27","26","23"
"Central and Southern Asia","2002","1566364.4360962","30","28","7","12","54","2.38","-2.34","15","3","12","69","2.83","-2.86","58","15","10","17","1.18","-0.89","15","12","-","3","1.68","12","14","9","9","8","-","<1","2.15","8","9","1","29","20","-","8","0.68","20","27","26","24"
"Central and Southern Asia","2003","1593507.3413391","31","30","7","11","51","2.38","-2.34","18","4","12","67","2.83","-2.86","59","15","10","16","1.18","-0.89","17","14","-","3","1.68","13","15","9","11","10","-","<1","2.15","10","10","1","29","21","-","8","0.68","21","27","27","25"
"Central and Southern Asia","2004","1620441.571106","31","33","8","11","49","2.38","-2.34","20","4","12","64","2.83","-2.86","60","16","9","15","1.18","-0.89","19","16","-","3","1.68","15","16","9","14","13","-","<1","2.15","13","11","1","30","22","-","9","0.68","21","27","27","26"
"Central and Southern Asia","2005","1647073.7259521","31","35","8","11","46","2.38","-2.34","23","5","11","61","2.83","-2.86","61","16","9","14","1.18","-0.89","20","17","-","3","1.68","17","17","10","16","15","-","<1","2.15","15","12","1","31","22","-","9","0.68","21","28","28","27"
"Central and Southern Asia","2006","1673377.8163452","32","37","9","10","44","2.38","-2.34","26","5","11","58","2.83","-2.86","62","16","9","13","1.18","-0.89","22","19","-","3","1.68","18","18","10","18","17","-","<1","2.15","17","13","1","31","22","-","9","0.68","21","29","28","28"
"Central and Southern Asia","2007","1699363.6958618","32","40","9","10","41","2.38","-2.34","29","6","11","55","2.83","-2.86","63","16","8","12","1.18","-0.89","24","20","-","3","1.68","20","19","10","20","20","-","<1","2.15","19","14","1","32","22","-","10","0.68","21","29","29","29"
"Central and Southern Asia","2008","1725021.1693726","32","42","9","9","39","2.38","-2.34","31","6","10","52","2.83","-2.86","65","16","8","11","1.18","-0.89","26","22","-","4","1.68","21","20","10","22","22","-","<1","2.15","21","15","1","32","22","-","10","0.68","21","30","30","30"
"Central and Southern Asia","2009","1750350.9543457","33","45","10","9","37","2.38","-2.34","34","6","10","49","2.83","-2.86","66","16","7","10","1.18","-0.89","27","24","-","4","1.68","23","21","11","24","24","-","<1","2.15","23","16","1","33","23","-","11","0.68","21","31","30","31"
"Central and Southern Asia","2010","1775360.4952087","33","47","10","9","34","2.38","-2.34","37","7","10","47","2.83","-2.86","67","16","7","10","1.18","-0.89","29","25","-","4","1.68","24","22","11","27","26","-","<1","2.15","26","17","1","34","23","-","11","0.68","21","32","31","32"
"Central and Southern Asia","2011","1800024.375946","33","49","10","8","32","2.38","-2.34","40","7","9","44","2.83","-2.86","68","16","7","9","1.18","-0.89","31","27","-","4","1.68","26","23","12","29","28","-","<1","2.15","28","18","1","35","23","-","11","0.68","21","32","32","33"
