"DRINKING WATER","Year","Population 
(thousands)","% urban","NATIONAL","","","","","RURAL","","","","","URBAN","","","","","NATIONAL","","","","","","","RURAL","","","","","","","URBAN","","","","","","",""
"REGION","","","","","","","","","","","","","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","","Proportion of population using 
improved water supplies","","","","","","",""
"","","","","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","At least basic","Limited (more than 30 mins)","Unimproved","Surface water","Annual rate of change in basic","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Safely managed","Accessible on premises","Available when needed","Free from contamination","Annual rate of change in safely managed","Piped","Non-piped","Sl"
"Australia and New Zealand","2000","22850.425537109","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","92","-","-","86","13","-","89","90","-","-","65","34","92","98","92","97","0.23","90","10","1"
"Australia and New Zealand","2001","23102.616699219","84",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","92","-","-","86","14","-","89","91","-","-","65","34","92","98","92","97","0.23","90","10","2"
"Australia and New Zealand","2002","23364.567138672","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","92","-","-","86","13","-","89","91","-","-","65","34","93","98","93","97","0.23","90","10","3"
"Australia and New Zealand","2003","23646.236083984","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","93","-","-","87","13","-","89","92","-","-","67","32","93","99","93","97","0.23","90","9","4"
"Australia and New Zealand","2004","23960.075195312","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","93","-","-","87","12","-","89","92","-","-","69","31","93","99","93","97","0.23","91","9","5"
"Australia and New Zealand","2005","24313.895996094","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","94","-","-","88","12","-","89","93","-","-","70","29","94","99","94","97","0.23","91","9","6"
"Australia and New Zealand","2006","24712.182617188","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","94","-","-","88","12","-","89","93","-","-","72","28","94","99","94","97","0.23","91","9","7"
"Australia and New Zealand","2007","25149.385742188","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","94","-","-","89","11","-","89","94","-","-","73","26","95","99","95","97","0.23","91","8","8"
"Australia and New Zealand","2008","25610.448730469","85",">99","<1","<1","<1","0.01",">99","<1","<1","<1","0.04",">99","<1","<1","<1","0.01","-","97","95","-","-","89","11","-","90","94","-","-","75","24","95","99","95","98","0.23","92","8","9"
